stop_sequence,arrival_time,travel_time_s,anomaly
0,2026-05-11 14:21:09.600000+00:00,,False
1,2026-05-11 14:17:37.600000+00:00,-212.0,False
2,2026-05-11 14:15:28.600000+00:00,-129.0,False
3,2026-05-11 14:12:54.600000+00:00,-154.0,False
4,2026-05-11 14:12:14.600000+00:00,-40.0,False
5,2026-05-11 14:10:35.600000+00:00,-99.0,False
6,2026-05-11 14:07:53.100000+00:00,-162.5,False
7,2026-05-11 14:06:39.600000+00:00,-73.5,False
8,2026-05-11 14:05:09.600000+00:00,-90.0,False
9,2026-05-11 14:04:26.100000+00:00,-43.5,False
10,2026-05-11 14:02:42.600000+00:00,-103.5,False
11,2026-05-11 14:01:00.100000+00:00,-102.5,False
12,2026-05-11 13:59:37.600000+00:00,-82.5,False
13,2026-05-11 13:58:25.100000+00:00,-72.5,False
14,2026-05-11 13:56:33.100000+00:00,-112.0,False
15,2026-05-11 13:54:35.600000+00:00,-117.5,False
16,2026-05-11 13:53:24.600000+00:00,-71.0,False
17,2026-05-11 13:50:50.600000+00:00,-154.0,False
18,2026-05-11 13:49:43.100000+00:00,-67.5,False
19,2026-05-11 13:48:42.600000+00:00,-60.5,False
20,2026-05-11 13:46:45.600000+00:00,-117.0,False
21,2026-05-11 13:45:29.100000+00:00,-76.5,False
22,2026-05-11 13:44:51.100000+00:00,-38.0,False
23,2026-05-11 13:43:03.600000+00:00,-107.5,False
24,2026-05-11 13:41:46.600000+00:00,-77.0,False
25,2026-05-11 13:40:46.600000+00:00,-60.0,False
26,2026-05-11 13:40:11.100000+00:00,-35.5,False
27,2026-05-11 13:39:30.100000+00:00,-41.0,False
28,2026-05-11 13:37:37.600000+00:00,-112.5,False
29,2026-05-11 13:36:26.600000+00:00,-71.0,False
30,2026-05-11 13:35:28.100000+00:00,-58.5,False
31,2026-05-11 13:34:49.600000+00:00,-38.5,False
32,2026-05-11 13:33:57.600000+00:00,-52.0,False
33,2026-05-11 13:31:48.600000+00:00,-129.0,False
34,2026-05-11 13:30:27.600000+00:00,-81.0,False
35,2026-05-11 13:29:56.100000+00:00,-31.5,False
36,2026-05-11 13:29:29.100000+00:00,-27.0,False
