stop_sequence,arrival_time,travel_time_s,anomaly
36,2026-05-11 19:55:37.100000+00:00,,False
35,2026-05-11 19:55:43.100000+00:00,6.0,False
34,2026-05-11 19:56:18.600000+00:00,35.5,False
33,2026-05-11 19:57:20.100000+00:00,61.5,False
32,2026-05-11 19:58:44.100000+00:00,84.0,False
31,2026-05-11 19:59:41.600000+00:00,57.5,False
30,2026-05-11 20:00:33.100000+00:00,51.5,False
29,2026-05-11 20:01:24.600000+00:00,51.5,False
28,2026-05-11 20:02:11.100000+00:00,46.5,False
27,2026-05-11 20:03:12.100000+00:00,61.0,False
26,2026-05-11 20:04:24.600000+00:00,72.5,False
25,2026-05-11 20:05:06.100000+00:00,41.5,False
24,2026-05-11 20:06:30.600000+00:00,84.5,False
23,2026-05-11 20:07:40.100000+00:00,69.5,False
22,2026-05-11 20:09:06.100000+00:00,86.0,False
21,2026-05-11 20:09:50.600000+00:00,44.5,False
20,2026-05-11 20:10:57.600000+00:00,67.0,False
19,2026-05-11 20:12:20.100000+00:00,82.5,False
18,2026-05-11 20:13:06.600000+00:00,46.5,False
17,2026-05-11 20:13:45.100000+00:00,38.5,False
16,2026-05-11 20:14:35.100000+00:00,50.0,False
15,2026-05-11 20:15:29.600000+00:00,54.5,False
14,2026-05-11 20:16:43.100000+00:00,73.5,False
13,2026-05-11 20:18:42.100000+00:00,119.0,False
12,2026-05-11 20:19:21.600000+00:00,39.5,False
11,2026-05-11 20:20:22.100000+00:00,60.5,False
10,2026-05-11 20:22:03.100000+00:00,101.0,False
9,2026-05-11 20:24:11.100000+00:00,128.0,False
8,2026-05-11 20:24:50.600000+00:00,39.5,False
7,2026-05-11 20:26:04.600000+00:00,74.0,False
6,2026-05-11 20:27:07.600000+00:00,63.0,False
5,2026-05-11 20:28:55.600000+00:00,108.0,False
4,2026-05-11 20:30:35.100000+00:00,99.5,False
3,2026-05-11 20:31:08.600000+00:00,33.5,False
2,2026-05-11 20:33:38.600000+00:00,150.0,False
1,2026-05-11 20:35:39.100000+00:00,120.5,False
0,2026-05-11 20:37:22.100000+00:00,103.0,False
