Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id,reconstructed_lat,reconstructed_lon,reconstructed_stop
5,2026-05-11 19:55:37.100000+00:00,52.1571675,21.1911946,90.2,36.76,0.035,0.058,0.956,0,1.9950453673974495,36.0,44.151032982480224,-1.0,5.0,52.15726,21.191824,36.0
10,2026-05-11 19:55:37.600000+00:00,52.1571542,21.1911243,90.0,36.5,0.031,0.05,0.969,0,36.13366423922667,36.0,49.160371458924274,-1.0,5.0,52.15726,21.191824,36.0
15,2026-05-11 19:55:38.100000+00:00,52.1571423,21.1910533,89.8,36.56,0.031,0.041,0.99,0,36.15094438344828,36.0,54.17990876418372,-1.0,5.0,52.15726,21.191824,36.0
20,2026-05-11 19:55:38.600000+00:00,52.1571279,21.1909833,89.8,36.63,0.01,0.067,0.96,0,36.26319389243717,36.0,59.201887174427256,-1.0,5.0,52.15726,21.191824,36.0
25,2026-05-11 19:55:39.100000+00:00,52.1571134,21.1909138,89.8,36.42,-0.122,-0.033,0.956,0,36.05614269573881,36.0,64.19598003416091,-1.0,5.0,52.15726,21.191824,36.0
30,2026-05-11 19:55:39.600000+00:00,52.1571003,21.190843,89.7,36.28,-0.12,-0.014,0.969,0,36.32189774947092,36.0,69.23762824267668,-1.0,5.0,52.15726,21.191824,36.0
35,2026-05-11 19:55:40.100000+00:00,52.157085,21.1907717,89.6,36.74,-0.105,0.013,0.973,0,37.1007976336439,36.0,74.37627098809412,-1.0,5.0,52.15726,21.191824,36.0
40,2026-05-11 19:55:40.600000+00:00,52.1570719,21.1906996,89.5,37.15,-0.091,0.003,0.974,0,36.9337014357187,36.0,79.5046594116634,-1.0,5.0,52.15726,21.191824,36.0
45,2026-05-11 19:55:41.100000+00:00,52.1570546,21.1906304,89.5,37.21,-0.086,-0.004,0.963,0,36.702612055834905,,84.56736373118567,-1.0,5.0,52.15726,21.191824,36.0
50,2026-05-11 19:55:41.600000+00:00,52.1570344,21.1905602,89.5,38.67,-0.093,-0.041,0.955,0,38.08434937715084,,89.78914874946774,-1.0,5.0,52.15726,21.191824,36.0
55,2026-05-11 19:55:42.100000+00:00,52.1570201,21.1904871,89.2,37.88,-0.1,-0.073,0.965,0,37.68561168964407,,95.02165221661406,-1.0,5.0,52.15726,21.191824,36.0
