Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id,reconstructed_lat,reconstructed_lon,reconstructed_stop
84,2026-05-11 18:45:11.400000+00:00,52.2498918,21.0522914,76.3,13.87,-0.091,0.134,0.983,0,12.201112590634674,0.0,46.02494062916406,-1.0,3.0,52.250296,21.052437,0.0
89,2026-05-11 18:45:11.900000+00:00,52.2498762,21.0522943,76.5,13.79,-0.091,0.119,0.968,0,12.570039726907806,0.0,47.67972782888976,-1.0,3.0,52.250296,21.052437,0.0
94,2026-05-11 18:45:12.400000+00:00,52.2498591,21.0523011,76.6,14.57,-0.082,0.11,0.964,0,14.090196181488446,0.0,49.45410837804698,-1.0,3.0,52.250296,21.052437,0.0
99,2026-05-11 18:45:12.900000+00:00,52.2498418,21.0523113,76.9,15.06,-0.076,0.104,0.974,0,14.725130674166405,0.0,51.224523409379394,-1.0,3.0,52.250296,21.052437,0.0
104,2026-05-11 18:45:13.400000+00:00,52.2498277,21.052317,76.9,14.84,-0.06,0.068,0.983,0,11.629097307229651,0.0,52.70946108485307,-1.0,3.0,52.250296,21.052437,0.0
109,2026-05-11 18:45:13.900000+00:00,52.2498111,21.0523263,77.1,15.37,-0.055,0.036,0.982,0,14.050022528471413,0.0,54.442505978056296,-1.0,3.0,52.250296,21.052437,0.0
114,2026-05-11 18:45:14.400000+00:00,52.2497928,21.0523361,77.2,16.11,-0.041,0.019,0.953,0,15.41836483102412,0.0,56.37331673644409,-1.0,3.0,52.250296,21.052437,0.0
119,2026-05-11 18:45:14.900000+00:00,52.2497757,21.0523465,77.9,17.92,-0.071,0.001,0.988,0,14.608542110508637,0.0,58.18182202461674,-1.0,3.0,52.250296,21.052437,0.0
124,2026-05-11 18:45:15.400000+00:00,52.2497562,21.0523567,78.5,18.24,-0.069,-0.03,0.955,0,16.392747462114247,0.0,60.27142969977852,-1.0,3.0,52.250296,21.052437,0.0
129,2026-05-11 18:45:15.900000+00:00,52.2497357,21.0523656,78.9,18.42,-0.06,-0.031,0.989,0,16.982213933767856,0.0,62.49183121320265,-1.0,3.0,52.250296,21.052437,0.0
134,2026-05-11 18:45:16.400000+00:00,52.249713,21.052375,79.0,19.72,-0.035,-0.062,0.961,0,18.74863294573093,0.0,64.9638950846085,-1.0,3.0,52.250296,21.052437,0.0
139,2026-05-11 18:45:16.900000+00:00,52.2496871,21.0523847,78.9,21.71,-0.031,-0.101,0.973,0,21.27371326952715,0.0,67.80013652727528,-1.0,3.0,52.250296,21.052437,0.0
144,2026-05-11 18:45:17.400000+00:00,52.2496584,21.0523923,78.9,23.87,-0.077,-0.118,0.98,0,23.277321799670013,0.0,70.96315821071192,-1.0,3.0,52.250296,21.052437,0.0
149,2026-05-11 18:45:17.900000+00:00,52.2496277,21.0523939,79.0,24.62,-0.079,-0.117,0.977,0,24.59103484186409,0.0,74.36946977640578,-1.0,3.0,52.250296,21.052437,0.0
154,2026-05-11 18:45:18.400000+00:00,52.249595,21.0523918,79.0,26.14,-0.087,-0.106,0.99,0,26.199960427708447,0.0,78.00835312161688,-1.0,3.0,52.250296,21.052437,0.0
159,2026-05-11 18:45:18.900000+00:00,52.2495627,21.0523853,79.1,26.27,-0.084,-0.102,0.991,0,26.05501266691118,,81.61516121045811,-1.0,3.0,52.250296,21.052437,0.0
164,2026-05-11 18:45:19.400000+00:00,52.2495281,21.0523775,79.0,28.16,-0.034,-0.05,0.96,0,27.96346343174445,,85.48260224945516,-1.0,3.0,52.250296,21.052437,0.0
169,2026-05-11 18:45:19.900000+00:00,52.2494929,21.0523677,78.9,28.83,-0.051,-0.009,0.975,0,28.58768288930888,,89.42517225250515,-1.0,3.0,52.250296,21.052437,0.0
