stop_sequence,arrival_time,travel_time_s,anomaly
0,2026-05-11 18:45:11.400000+00:00,,False
1,2026-05-11 18:45:28.900000+00:00,17.5,False
2,2026-05-11 18:47:19.900000+00:00,111.0,False
3,2026-05-11 18:48:07.400000+00:00,47.5,False
4,2026-05-11 18:49:51.900000+00:00,104.5,False
5,2026-05-11 18:52:04.900000+00:00,133.0,False
6,2026-05-11 18:53:25.900000+00:00,81.0,False
7,2026-05-11 18:55:27.900000+00:00,122.0,False
8,2026-05-11 18:56:50.900000+00:00,83.0,False
9,2026-05-11 18:58:24.400000+00:00,93.5,False
10,2026-05-11 18:59:11.400000+00:00,47.0,False
11,2026-05-11 19:00:55.400000+00:00,104.0,False
12,2026-05-11 19:02:16.400000+00:00,81.0,False
13,2026-05-11 19:03:14.900000+00:00,58.5,False
14,2026-05-11 19:03:59.900000+00:00,45.0,False
15,2026-05-11 19:05:34.900000+00:00,95.0,False
16,2026-05-11 19:06:52.400000+00:00,77.5,False
17,2026-05-11 19:07:50.900000+00:00,58.5,False
18,2026-05-11 19:08:51.400000+00:00,60.5,False
19,2026-05-11 19:09:29.400000+00:00,38.0,False
20,2026-05-11 19:10:12.400000+00:00,43.0,False
21,2026-05-11 19:11:36.900000+00:00,84.5,False
22,2026-05-11 19:12:29.900000+00:00,53.0,False
23,2026-05-11 19:13:06.900000+00:00,37.0,False
24,2026-05-11 19:14:10.900000+00:00,64.0,False
25,2026-05-11 19:15:02.400000+00:00,51.5,False
26,2026-05-11 19:16:25.400000+00:00,83.0,False
27,2026-05-11 19:17:28.900000+00:00,63.5,False
28,2026-05-11 19:18:03.900000+00:00,35.0,False
29,2026-05-11 19:18:31.900000+00:00,28.0,False
30,2026-05-11 19:19:14.400000+00:00,42.5,False
31,2026-05-11 19:20:16.900000+00:00,62.5,False
32,2026-05-11 19:20:57.900000+00:00,41.0,False
33,2026-05-11 19:21:54.900000+00:00,57.0,False
34,2026-05-11 19:22:47.400000+00:00,52.5,False
35,2026-05-11 19:24:04.900000+00:00,77.5,False
36,2026-05-11 19:24:38.400000+00:00,33.5,False
37,2026-05-11 19:25:04.400000+00:00,26.0,False
38,2026-05-11 19:25:37.400000+00:00,33.0,False
