stop_sequence,arrival_time,travel_time_s,anomaly
38,2026-05-11 21:54:47.100000+00:00,,False
37,2026-05-11 21:55:05.100000+00:00,18.0,False
36,2026-05-11 21:55:40.600000+00:00,35.5,False
35,2026-05-11 21:56:08.100000+00:00,27.5,False
34,2026-05-11 21:56:43.100000+00:00,35.0,False
33,2026-05-11 21:57:49.600000+00:00,66.5,False
32,2026-05-11 22:00:13.600000+00:00,144.0,False
31,2026-05-11 22:00:48.100000+00:00,34.5,False
30,2026-05-11 22:01:30.100000+00:00,42.0,False
29,2026-05-11 22:02:13.600000+00:00,43.5,False
28,2026-05-11 22:03:14.100000+00:00,60.5,False
27,2026-05-11 22:03:43.100000+00:00,29.0,False
26,2026-05-11 22:04:20.100000+00:00,37.0,False
25,2026-05-11 22:04:56.600000+00:00,36.5,False
24,2026-05-11 22:06:10.600000+00:00,74.0,False
23,2026-05-11 22:07:29.100000+00:00,78.5,False
22,2026-05-11 22:08:41.100000+00:00,72.0,False
21,2026-05-11 22:09:36.100000+00:00,55.0,False
20,2026-05-11 22:10:54.600000+00:00,78.5,False
19,2026-05-11 22:12:15.100000+00:00,80.5,False
18,2026-05-11 22:12:57.100000+00:00,42.0,False
17,2026-05-11 22:13:35.100000+00:00,38.0,False
16,2026-05-11 22:14:30.100000+00:00,55.0,False
15,2026-05-11 22:15:23.100000+00:00,53.0,False
14,2026-05-11 22:16:37.600000+00:00,74.5,False
13,2026-05-11 22:17:18.600000+00:00,41.0,False
12,2026-05-11 22:18:32.600000+00:00,74.0,False
11,2026-05-11 22:19:51.600000+00:00,79.0,False
10,2026-05-11 22:21:05.600000+00:00,74.0,False
9,2026-05-11 22:22:36.100000+00:00,90.5,False
8,2026-05-11 22:23:13.100000+00:00,37.0,False
7,2026-05-11 22:24:17.100000+00:00,64.0,False
6,2026-05-11 22:25:08.600000+00:00,51.5,False
5,2026-05-11 22:27:24.600000+00:00,136.0,False
4,2026-05-11 22:28:36.100000+00:00,71.5,False
3,2026-05-11 22:29:11.600000+00:00,35.5,False
2,2026-05-11 22:30:49.100000+00:00,97.5,False
1,2026-05-11 22:32:11.100000+00:00,82.0,False
0,2026-05-11 22:33:29.100000+00:00,78.0,False
