Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id,reconstructed_lat,reconstructed_lon,reconstructed_stop
31020,2026-05-11 20:47:18.600000+00:00,52.2499043,21.0523555,97.8,5.86,0.09,0.022,0.979,0,6.038691415374632,0.0,43.90699769797953,-1.0,6.0,52.250296,21.052437,0.0
31025,2026-05-11 20:47:19.100000+00:00,52.2498951,21.0523579,98.1,7.74,0.098,0.018,0.974,0,7.458897135273042,0.0,44.90209127195306,-1.0,6.0,52.250296,21.052437,0.0
31030,2026-05-11 20:47:19.600000+00:00,52.2498823,21.0523646,98.3,11.55,0.095,0.027,0.981,0,10.761054938711217,0.0,46.26461940806749,-1.0,6.0,52.250296,21.052437,0.0
31035,2026-05-11 20:47:20.100000+00:00,52.2498675,21.052372,98.2,13.5,0.098,0.024,0.967,0,12.391642962930344,0.0,47.852051175019184,-1.0,6.0,52.250296,21.052437,0.0
31040,2026-05-11 20:47:20.600000+00:00,52.2498519,21.0523771,97.9,13.41,0.103,0.051,0.971,0,12.737117388218694,0.0,49.5497403755253,-1.0,6.0,52.250296,21.052437,0.0
31045,2026-05-11 20:47:21.100000+00:00,52.2498343,21.0523854,97.6,15.6,0.109,0.035,0.972,0,14.666147539531304,0.0,51.45872961799299,-1.0,6.0,52.250296,21.052437,0.0
31050,2026-05-11 20:47:21.600000+00:00,52.2498159,21.0523962,97.4,16.49,0.1,0.024,0.978,0,15.653347469164231,0.0,53.45688808502369,-1.0,6.0,52.250296,21.052437,0.0
31055,2026-05-11 20:47:22.100000+00:00,52.2497948,21.0524097,97.3,18.6,0.104,0.014,0.957,0,18.142454090299594,0.0,55.761875621792,-1.0,6.0,52.250296,21.052437,0.0
31060,2026-05-11 20:47:22.600000+00:00,52.2497719,21.0524231,97.0,19.6,0.084,-0.039,0.984,0,19.474776799751105,0.0,58.28494266547175,-1.0,6.0,52.250296,21.052437,0.0
31065,2026-05-11 20:47:23.100000+00:00,52.2497455,21.0524363,96.7,22.23,0.085,-0.102,0.973,0,22.10401672694462,0.0,61.21282566556719,-1.0,6.0,52.250296,21.052437,0.0
31070,2026-05-11 20:47:23.600000+00:00,52.2497177,21.0524476,96.5,23.55,0.068,-0.114,0.936,0,22.93557876978681,0.0,64.30807473472237,-1.0,6.0,52.250296,21.052437,0.0
31075,2026-05-11 20:47:24.100000+00:00,52.2496876,21.0524565,96.4,24.6,0.03,-0.127,0.975,0,24.489818948972584,0.0,67.6640161748132,-1.0,6.0,52.250296,21.052437,0.0
31080,2026-05-11 20:47:24.600000+00:00,52.2496559,21.0524613,96.2,26.0,0.017,-0.116,0.97,0,25.48794742574098,0.0,71.19509339965431,-1.0,6.0,52.250296,21.052437,0.0
31085,2026-05-11 20:47:25.100000+00:00,52.2496221,21.0524673,96.1,27.37,0.011,-0.135,0.97,0,27.219733668715453,0.0,74.96264512432595,-1.0,6.0,52.250296,21.052437,0.0
31090,2026-05-11 20:47:25.600000+00:00,52.2495885,21.052466,96.0,27.56,0.018,-0.115,0.995,0,26.90782224087623,0.0,78.69517731949223,-1.0,6.0,52.250296,21.052437,0.0
31095,2026-05-11 20:47:26.100000+00:00,52.2495533,21.0524613,95.9,28.56,0.026,-0.136,0.93,0,28.275244054048358,,82.60103822970021,-1.0,6.0,52.250296,21.052437,0.0
31100,2026-05-11 20:47:26.600000+00:00,52.2495177,21.0524516,95.8,28.96,0.058,-0.087,0.946,0,28.895315595184577,,86.54871846643927,-1.0,6.0,52.250296,21.052437,0.0
31105,2026-05-11 20:47:27.100000+00:00,52.2494807,21.0524419,95.6,29.98,0.025,-0.044,0.981,0,30.001451228706674,,90.6578373724596,-1.0,6.0,52.250296,21.052437,0.0
31110,2026-05-11 20:47:27.600000+00:00,52.2494443,21.0524308,95.3,30.43,0.051,-0.043,0.988,0,29.645487775860804,,94.7056595325571,-1.0,6.0,52.250296,21.052437,0.0
31115,2026-05-11 20:47:28.100000+00:00,52.2494065,21.0524187,95.1,31.09,0.058,0.024,0.968,0,30.83848662267574,,98.91573252325256,-1.0,6.0,52.250296,21.052437,0.0
