stop_sequence,arrival_time,travel_time_s,anomaly
0,2026-05-11 20:47:18.600000+00:00,,False
1,2026-05-11 20:47:35.600000+00:00,17.0,False
2,2026-05-11 20:49:10.600000+00:00,95.0,False
3,2026-05-11 20:49:55.600000+00:00,45.0,False
4,2026-05-11 20:51:52.600000+00:00,117.0,False
5,2026-05-11 20:53:39.100000+00:00,106.5,False
6,2026-05-11 20:54:59.100000+00:00,80.0,False
7,2026-05-11 20:57:17.100000+00:00,138.0,False
8,2026-05-11 20:58:25.100000+00:00,68.0,False
9,2026-05-11 20:59:18.100000+00:00,53.0,False
10,2026-05-11 21:00:02.600000+00:00,44.5,False
11,2026-05-11 21:01:59.600000+00:00,117.0,False
12,2026-05-11 21:03:36.100000+00:00,96.5,False
13,2026-05-11 21:04:44.600000+00:00,68.5,False
14,2026-05-11 21:05:20.600000+00:00,36.0,False
15,2026-05-11 21:05:53.600000+00:00,33.0,False
16,2026-05-11 21:06:49.600000+00:00,56.0,False
17,2026-05-11 21:07:45.100000+00:00,55.5,False
18,2026-05-11 21:08:36.100000+00:00,51.0,False
19,2026-05-11 21:09:32.100000+00:00,56.0,False
20,2026-05-11 21:10:06.600000+00:00,34.5,False
21,2026-05-11 21:11:15.600000+00:00,69.0,False
22,2026-05-11 21:12:04.100000+00:00,48.5,False
23,2026-05-11 21:12:36.600000+00:00,32.5,False
24,2026-05-11 21:13:38.600000+00:00,62.0,False
25,2026-05-11 21:14:27.100000+00:00,48.5,False
26,2026-05-11 21:15:06.100000+00:00,39.0,False
27,2026-05-11 21:15:36.100000+00:00,30.0,False
28,2026-05-11 21:16:19.600000+00:00,43.5,False
29,2026-05-11 21:16:43.600000+00:00,24.0,False
30,2026-05-11 21:17:18.100000+00:00,34.5,False
31,2026-05-11 21:18:17.100000+00:00,59.0,False
32,2026-05-11 21:18:52.100000+00:00,35.0,False
33,2026-05-11 21:19:22.600000+00:00,30.5,False
34,2026-05-11 21:20:18.600000+00:00,56.0,False
35,2026-05-11 21:21:28.600000+00:00,70.0,False
36,2026-05-11 21:21:58.600000+00:00,30.0,False
37,2026-05-11 21:22:21.600000+00:00,23.0,False
38,2026-05-11 21:22:49.100000+00:00,27.5,False
