line,vehicle_nr,brigade,lat_raw,lon_raw,vehicle_time,server_time,lat,lon,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id
146,7734,4,"52,2326429","21,1165915",2026-05-11 19:14:04,11.05.2026 19:14:13,52.2326429,21.1165915,0.6622915260327402,,2147.7468877729502,-1.0,5.0
146,7734,4,"52,2325915","21,1193947",2026-05-11 19:14:16,11.05.2026 19:14:24,52.2325915,21.1193947,57.29682532737558,,2267.522566552733,-1.0,5.0
146,7734,4,"52,2326142","21,1217704",2026-05-11 19:14:25,11.05.2026 19:14:34,52.2326142,21.1217704,64.7239850028972,,2381.515687516558,-1.0,5.0
146,7734,4,"52,2326609","21,1242207",2026-05-11 19:14:35,11.05.2026 19:14:43,52.2326609,21.1242207,60.10248277569907,,2506.3495513645835,-1.0,5.0
146,7734,4,"52,2326796","21,1252206",2026-05-11 19:14:40,11.05.2026 19:14:53,52.2326796,21.1252206,49.0514217784359,,2558.6459620298715,-1.0,5.0
146,7734,4,"52,2326599","21,1292764",2026-05-11 19:14:56,11.05.2026 19:15:04,52.2326599,21.1292764,62.14881677631282,,2771.3684035519636,-1.0,5.0
146,7734,4,"52,2321899","21,1312881",2026-05-11 19:15:06,11.05.2026 19:15:14,52.2321899,21.1312881,52.78725326953967,,2832.8250099350703,-1.0,5.0
146,7734,4,"52,2314859","21,1330461",2026-05-11 19:15:14,11.05.2026 19:15:23,52.2314859,21.1330461,64.37073377066768,,2864.583258916029,-1.0,5.0
146,7734,4,"52,2306092","21,1352031",2026-05-11 19:15:25,11.05.2026 19:15:34,52.2306092,21.1352031,57.699667589979306,,2911.786490626277,-1.0,5.0
146,7734,4,"52,2296939","21,1372644",2026-05-11 19:15:36,11.05.2026 19:15:43,52.2296939,21.1372644,56.748494869504086,,2960.936627436531,-1.0,5.0
146,7734,4,"52,2289007","21,1390629",2026-05-11 19:15:46,11.05.2026 19:15:53,52.2289007,21.1390629,54.33879160953029,,3011.6661216127463,-1.0,5.0
146,7734,4,"52,228437","21,1401094",2026-05-11 19:15:54,11.05.2026 19:16:04,52.228437,21.1401094,39.58645137969487,,3037.223599853205,-1.0,5.0
146,7734,4,"52,2275779","21,1418057",2026-05-11 19:16:06,11.05.2026 19:16:13,52.2275779,21.1418057,44.97352754999268,,3069.750657408089,-1.0,5.0
146,7734,4,"52,2266517","21,1428937",2026-05-11 19:16:17,11.05.2026 19:16:23,52.2266517,21.1428937,41.52383910717447,,3070.653422039046,-1.0,5.0
146,7734,4,"52,2260127","21,1438007",2026-05-11 19:16:26,11.05.2026 19:16:34,52.2260127,21.1438007,37.66176208050781,,3083.3188323253917,-1.0,5.0
146,7734,4,"52,2260807","21,1447082",2026-05-11 19:16:34,11.05.2026 19:16:44,52.2260807,21.1447082,28.0226621346399,,3139.6708780485674,-1.0,5.0
146,7734,4,"52,2256455","21,1458979",2026-05-11 19:16:46,11.05.2026 19:16:54,52.2256455,21.1458979,28.314986310353042,,3174.521775796949,-1.0,5.0
146,7734,4,"52,2249777","21,1469404",2026-05-11 19:16:56,11.05.2026 19:17:04,52.2249777,21.1469404,36.987449780510126,,3181.3549529398456,-1.0,5.0
146,7734,4,"52,2242626","21,1477667",2026-05-11 19:17:06,11.05.2026 19:17:14,52.2242626,21.1477667,35.070875947894386,,3176.573897594635,-1.0,5.0
146,7734,4,"52,2233196","21,1487076",2026-05-11 19:17:15,11.05.2026 19:17:24,52.2233196,21.1487076,49.1568653214268,,3166.531112504426,-1.0,5.0
146,7734,4,"52,2223677","21,1496634",2026-05-11 19:17:25,11.05.2026 19:17:34,52.2223677,21.1496634,44.73614853530264,,3161.5577282563836,-1.0,5.0
146,7734,4,"52,2214697","21,1507582",2026-05-11 19:17:35,11.05.2026 19:17:44,52.2214697,21.1507582,44.866221566464745,,3172.6680464012334,-1.0,5.0
146,7734,4,"52,220848","21,1516447",2026-05-11 19:17:43,11.05.2026 19:17:54,52.220848,21.1516447,41.30614160949167,,3185.028526193477,-1.0,5.0
146,7734,4,"52,2195897","21,152941",2026-05-11 19:17:56,11.05.2026 19:18:04,52.2195897,21.152941,45.8175898355872,,3179.1577356403122,-1.0,5.0
146,7734,4,"52,2186822","21,1539247",2026-05-11 19:18:05,11.05.2026 19:18:14,52.2186822,21.1539247,48.45347228803338,,3183.127248091439,-1.0,5.0
146,7734,4,"52,2176754","21,1549541",2026-05-11 19:18:15,11.05.2026 19:18:24,52.2176754,21.1549541,47.55660258057075,,3189.192870855392,-1.0,5.0
146,7734,4,"52,2168827","21,1557519",2026-05-11 19:18:23,11.05.2026 19:18:34,52.2168827,21.1557519,46.599224375014494,,3197.030252041106,-1.0,5.0
146,7734,4,"52,2156499","21,1569899",2026-05-11 19:18:36,11.05.2026 19:18:44,52.2156499,21.1569899,44.57060827222112,,3215.6465826377394,-1.0,5.0
146,7734,4,"52,2147076","21,1579239",2026-05-11 19:18:46,11.05.2026 19:18:54,52.2147076,21.1579239,44.13152634242398,,3218.3392618010294,-1.0,5.0
146,7734,4,"52,2140479","21,158388",2026-05-11 19:18:56,11.05.2026 19:19:04,52.2140479,21.158388,28.75670372955743,,3204.6252757262077,-1.0,5.0
