Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id
140,2026-05-11 14:35:25.100000+00:00,52.249952,21.0522386,79.0,13.43,0.102,0.104,1.0,0,12.250802038480444,0.0,40.56548790866439,0.0,2.0
145,2026-05-11 14:35:25.600000+00:00,52.2499338,21.05224,78.8,15.47,0.118,0.111,0.969,0,14.587132118541593,0.0,42.448911320551574,0.0,2.0
150,2026-05-11 14:35:26.100000+00:00,52.2499141,21.0522504,78.9,16.82,0.011,0.124,0.994,0,16.575191043880587,0.0,44.324572289110726,0.0,2.0
155,2026-05-11 14:35:26.600000+00:00,52.2498936,21.0522607,79.2,17.21,0.048,0.116,0.941,0,17.171288410788858,0.0,46.32645923792431,0.0,2.0
160,2026-05-11 14:35:27.100000+00:00,52.249872,21.0522745,79.2,18.28,0.074,0.071,0.961,0,18.568809584174257,0.0,48.42705513309307,0.0,2.0
165,2026-05-11 14:35:27.600000+00:00,52.2498505,21.052289,79.1,19.25,0.063,0.066,1.013,0,18.622496168866494,0.0,50.55152519748184,0.0,2.0
170,2026-05-11 14:35:28.100000+00:00,52.2498275,21.0523057,79.0,20.75,0.09,0.007,0.951,0,20.151231036165807,0.0,52.85606599443887,0.0,2.0
175,2026-05-11 14:35:28.600000+00:00,52.2498024,21.052323,78.8,22.98,0.105,-0.008,0.965,0,21.81093987742931,0.0,55.43175609559564,0.0,2.0
180,2026-05-11 14:35:29.100000+00:00,52.2497762,21.0523397,78.7,23.28,0.043,-0.062,0.965,0,22.516348214959393,0.0,58.177422501067284,0.0,2.0
185,2026-05-11 14:35:29.600000+00:00,52.2497493,21.0523509,78.4,22.27,-0.001,-0.09,0.995,0,22.224883154771558,0.0,61.072180677909245,0.0,2.0
190,2026-05-11 14:35:30.100000+00:00,52.2497204,21.0523615,78.2,23.26,-0.02,-0.126,0.937,0,23.713601225458593,0.0,64.20983460640159,0.0,2.0
195,2026-05-11 14:35:30.600000+00:00,52.2496895,21.0523704,78.2,25.58,-0.011,-0.147,0.948,0,25.120317819563937,0.0,67.59195084165596,0.0,2.0
200,2026-05-11 14:35:31.100000+00:00,52.2496578,21.0523734,78.1,25.86,-0.033,-0.152,0.985,0,25.421692275920556,0.0,71.09655554235214,0.0,2.0
205,2026-05-11 14:35:31.600000+00:00,52.2496247,21.0523743,78.2,27.07,-0.027,-0.15,0.98,0,26.503646326448898,0.0,74.76708993005481,0.0,2.0
210,2026-05-11 14:35:32.100000+00:00,52.2495907,21.0523695,78.3,27.61,-0.028,-0.154,1.011,0,27.322002855957145,0.0,78.56028373779444,0.0,2.0
215,2026-05-11 14:35:32.600000+00:00,52.2495562,21.052358,78.2,28.8,0.006,-0.098,0.904,0,28.19010630606989,,82.43761466843216,0.0,2.0
220,2026-05-11 14:35:33.100000+00:00,52.2495206,21.0523475,78.1,29.22,0.043,-0.044,0.982,0,28.962417485736395,,86.43555037828578,0.0,2.0
225,2026-05-11 14:35:33.600000+00:00,52.2494845,21.0523375,78.2,29.74,0.049,0.038,0.979,0,29.31446362165658,,90.4885553331257,0.0,2.0
230,2026-05-11 14:35:34.100000+00:00,52.2494469,21.0523268,78.1,30.85,0.084,0.033,0.949,0,30.55614124430456,,94.7131822265475,0.0,2.0
235,2026-05-11 14:35:34.600000+00:00,52.2494076,21.0523173,78.2,32.1,0.063,0.027,0.988,0,31.80640991856003,,99.12108780279588,0.0,2.0
240,2026-05-11 14:35:35.100000+00:00,52.2493674,21.0523098,78.2,33.22,0.052,0.003,0.954,0,32.39352499504672,,103.61806330799861,0.0,2.0
245,2026-05-11 14:35:35.600000+00:00,52.2493263,21.0523021,78.2,33.77,0.04,0.012,0.99,0,33.12054218715215,,108.21608540185053,0.0,2.0
250,2026-05-11 14:35:36.100000+00:00,52.2492844,21.0522943,78.3,34.07,-0.008,0.0,0.975,0,33.76244752475307,,112.90348671979739,0.0,2.0
255,2026-05-11 14:35:36.600000+00:00,52.2492421,21.052287,78.4,34.64,0.008,-0.025,0.957,0,34.0540268955448,,117.63238305755816,0.0,2.0
260,2026-05-11 14:35:37.100000+00:00,52.2492001,21.052277,78.7,35.01,0.016,-0.004,0.954,0,33.9807117070918,,122.3443399695312,0.0,2.0
