course_id,start_time,end_time,n_samples,start_stop,end_stop
1,2026-05-11 13:29:29.100000+00:00,2026-05-11 14:21:25.100000+00:00,6233,,0.0
2,2026-05-11 14:35:25.100000+00:00,2026-05-11 15:26:53.600000+00:00,6178,0.0,39.0
3,2026-05-11 18:45:11.400000+00:00,2026-05-11 19:25:55.400000+00:00,4889,0.0,38.0
4,2026-05-11 19:26:23.400000+00:00,2026-05-11 19:27:01.400000+00:00,77,39.0,39.0
5,2026-05-11 19:55:37.100000+00:00,2026-05-11 20:37:36.100000+00:00,5039,36.0,0.0
6,2026-05-11 20:47:18.600000+00:00,2026-05-11 21:23:04.600000+00:00,4293,0.0,38.0
7,2026-05-11 21:23:27.600000+00:00,2026-05-11 21:24:00.100000+00:00,66,39.0,39.0
8,2026-05-11 21:53:50.100000+00:00,2026-05-11 21:54:29.600000+00:00,80,39.0,39.0
9,2026-05-11 21:54:47.100000+00:00,2026-05-11 22:33:44.600000+00:00,4676,38.0,0.0
