Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id
5,2026-05-11 21:53:50.100000+00:00,52.1595335,21.2046484,89.1,0.55,0.109,-0.037,0.968,0,0.023385874972428305,39.0,9.507640114256159,1.0,8.0
10,2026-05-11 21:53:50.600000+00:00,52.1594572,21.2046523,148.3,0.19,0.108,-0.038,0.969,0,61.11606870627536,39.0,4.935954118437988,1.0,8.0
15,2026-05-11 21:53:51.100000+00:00,52.1594634,21.2046558,83.7,0.16,0.112,-0.038,0.97,0,5.252969877223437,39.0,5.193739884041005,1.0,8.0
20,2026-05-11 21:53:51.600000+00:00,52.1594722,21.20466,85.5,0.04,0.109,-0.039,0.97,0,7.341086130487806,39.0,5.651086163294126,1.0,8.0
25,2026-05-11 21:53:52.100000+00:00,52.1594722,21.2046627,86.6,0.05,0.11,-0.037,0.968,0,1.3260857173114846,39.0,5.829140137133238,1.0,8.0
30,2026-05-11 21:53:52.600000+00:00,52.1594756,21.2046643,87.8,0.03,0.108,-0.037,0.97,0,2.8332124014472173,39.0,6.039450032145387,1.0,8.0
35,2026-05-11 21:53:53.100000+00:00,52.159481,21.204666,89.1,0.03,0.108,-0.036,0.968,0,4.40314609987477,39.0,6.3560455184918725,1.0,8.0
40,2026-05-11 21:53:53.600000+00:00,52.1594841,21.2046669,89.8,0.05,0.11,-0.035,0.968,0,2.5209267420528763,39.0,6.552000314224561,1.0,8.0
45,2026-05-11 21:53:54.100000+00:00,52.1594873,21.2046674,90.4,0.1,0.108,-0.037,0.97,0,2.5736736987220867,39.0,6.74144232086647,1.0,8.0
50,2026-05-11 21:53:54.600000+00:00,52.15949,21.2046677,90.9,0.08,0.109,-0.036,0.969,0,2.166645206150185,39.0,6.9044278792183,1.0,8.0
55,2026-05-11 21:53:55.100000+00:00,52.1594916,21.2046681,91.3,0.08,0.109,-0.037,0.969,0,1.2959429529118567,39.0,7.018299480971765,1.0,8.0
60,2026-05-11 21:53:55.600000+00:00,52.159493,21.2046683,91.6,0.08,0.108,-0.037,0.966,0,1.1251408964789744,39.0,7.111507530991254,1.0,8.0
65,2026-05-11 21:53:56.100000+00:00,52.1594939,21.2046684,91.8,0.04,0.106,-0.036,0.968,0,0.7222150733666381,39.0,7.170946341512366,1.0,8.0
70,2026-05-11 21:53:56.600000+00:00,52.1594945,21.2046684,91.8,0.04,0.109,-0.039,0.969,0,0.48036208296675653,39.0,7.207269904013697,1.0,8.0
75,2026-05-11 21:53:57.100000+00:00,52.1594945,21.2046683,91.8,0.1,0.112,-0.038,0.971,0,0.04911426017710104,39.0,7.201563555353359,1.0,8.0
80,2026-05-11 21:53:57.600000+00:00,52.1594943,21.2046684,91.8,0.14,0.109,-0.039,0.966,0,0.1674838734250478,39.0,7.195113687568135,1.0,8.0
85,2026-05-11 21:53:58.100000+00:00,52.1594942,21.2046687,91.8,0.15,0.105,-0.043,0.964,0,0.167688866268566,39.0,7.206227621262313,1.0,8.0
90,2026-05-11 21:53:58.600000+00:00,52.1594937,21.2046693,91.8,0.1,0.112,-0.032,0.967,0,0.49707249239770035,39.0,7.210724285472888,1.0,8.0
95,2026-05-11 21:53:59.100000+00:00,52.159493,21.2046696,91.7,0.05,0.108,-0.035,0.969,0,0.5794680327793033,39.0,7.18677133010112,1.0,8.0
100,2026-05-11 21:53:59.600000+00:00,52.1594921,21.2046694,91.6,0.08,0.109,-0.035,0.969,0,0.7272078315149273,39.0,7.122950090705656,1.0,8.0
105,2026-05-11 21:54:00.100000+00:00,52.1594911,21.204669,91.5,0.05,0.111,-0.035,0.969,0,0.824355086150119,39.0,7.042599959341411,1.0,8.0
110,2026-05-11 21:54:00.600000+00:00,52.1594904,21.2046686,91.4,0.11,0.108,-0.034,0.968,0,0.5938591324166657,39.0,6.979832277704432,1.0,8.0
115,2026-05-11 21:54:01.100000+00:00,52.15949,21.2046682,91.4,0.12,0.11,-0.034,0.969,0,0.3756992511547602,39.0,6.934001171831238,1.0,8.0
120,2026-05-11 21:54:01.600000+00:00,52.1594901,21.2046682,91.4,0.15,0.11,-0.036,0.967,0,0.08006034546355068,39.0,6.939535614413055,1.0,8.0
125,2026-05-11 21:54:02.100000+00:00,52.1594902,21.2046681,91.4,0.3,0.108,-0.034,0.97,0,0.0939248151922402,39.0,6.93917490895398,1.0,8.0
130,2026-05-11 21:54:02.600000+00:00,52.1594909,21.2046685,91.4,0.16,0.107,0.015,0.978,0,0.593859138031458,39.0,7.001926928533126,1.0,8.0
135,2026-05-11 21:54:03.100000+00:00,52.1594922,21.2046684,91.5,0.19,0.025,-0.048,0.95,0,1.0419427147357172,39.0,7.070435379328409,1.0,8.0
140,2026-05-11 21:54:03.600000+00:00,52.1594928,21.2046682,91.6,0.06,-0.063,-0.055,0.97,0,0.49030253327632123,39.0,7.093923504919657,1.0,8.0
145,2026-05-11 21:54:04.100000+00:00,52.1594936,21.2046682,91.7,0.1,-0.064,-0.056,0.972,0,0.6404827738938579,39.0,7.141451195390494,1.0,8.0
150,2026-05-11 21:54:04.600000+00:00,52.1594946,21.2046682,91.8,0.09,-0.063,-0.056,0.971,0,0.8006034750064119,39.0,7.201964943575611,1.0,8.0
155,2026-05-11 21:54:05.100000+00:00,52.1594952,21.2046684,91.9,0.03,-0.065,-0.056,0.973,0,0.4903025322151547,39.0,7.250193356059445,1.0,8.0
160,2026-05-11 21:54:05.600000+00:00,52.1594956,21.2046684,92.0,0.05,-0.063,-0.058,0.972,0,0.32024138694692894,39.0,7.27498124592172,1.0,8.0
165,2026-05-11 21:54:06.100000+00:00,52.1594958,21.2046685,92.1,0.09,-0.064,-0.057,0.969,0,0.16748387346245672,39.0,7.2930909053983495,1.0,8.0
170,2026-05-11 21:54:06.600000+00:00,52.1594954,21.2046689,92.2,0.48,-0.033,-0.06,0.97,0,0.3756992386909779,39.0,7.2909079294058365,1.0,8.0
175,2026-05-11 21:54:07.100000+00:00,52.1594952,21.2046711,92.3,1.42,-0.022,-0.058,0.972,0,1.09231339297902,39.0,7.404084761444145,1.0,8.0
180,2026-05-11 21:54:07.600000+00:00,52.159495,21.2046748,92.4,2.08,-0.011,-0.046,0.977,0,1.8242683291940376,39.0,7.605427852968275,1.0,8.0
185,2026-05-11 21:54:08.100000+00:00,52.159496,21.2046811,92.6,3.0,-0.018,-0.042,0.976,0,3.1960959912586735,39.0,8.030439047398845,1.0,8.0
190,2026-05-11 21:54:08.600000+00:00,52.1594969,21.2046893,92.7,4.01,-0.021,-0.036,0.98,0,4.091318299639753,39.0,8.5644311011684,1.0,8.0
195,2026-05-11 21:54:09.100000+00:00,52.159498,21.2046989,92.8,4.76,-0.021,-0.038,0.977,0,4.796509066013788,39.0,9.197239081234759,1.0,8.0
200,2026-05-11 21:54:09.600000+00:00,52.1594996,21.2047096,92.9,5.89,-0.015,-0.033,0.975,0,5.40909116471993,39.0,9.926556074641658,1.0,8.0
205,2026-05-11 21:54:10.100000+00:00,52.159502,21.2047219,93.1,6.65,-0.007,-0.027,0.966,0,6.339265602603038,39.0,10.79612765451078,1.0,8.0
210,2026-05-11 21:54:10.600000+00:00,52.1595061,21.204737,93.3,8.42,-0.015,0.003,0.991,0,8.11020521949012,39.0,11.921640412477393,1.0,8.0
215,2026-05-11 21:54:11.100000+00:00,52.1595113,21.2047535,93.4,9.36,-0.02,0.032,0.979,0,9.110659231532464,39.0,13.186786917570988,1.0,8.0
220,2026-05-11 21:54:11.600000+00:00,52.159518,21.2047699,93.4,10.28,-0.03,0.029,0.972,0,9.677381836246074,39.0,14.520447210115126,1.0,8.0
225,2026-05-11 21:54:12.100000+00:00,52.159527,21.2047876,93.5,11.65,-0.067,0.062,0.973,0,11.291159905010845,39.0,16.053485728378767,1.0,8.0
230,2026-05-11 21:54:12.600000+00:00,52.1595387,21.2048027,93.7,11.77,-0.101,0.055,0.971,0,11.947491162802862,39.0,17.58735887939317,1.0,8.0
235,2026-05-11 21:54:13.100000+00:00,52.1595525,21.2048145,93.8,12.23,-0.131,0.083,0.978,0,12.476100899183637,39.0,19.078037993445186,1.0,8.0
240,2026-05-11 21:54:13.600000+00:00,52.1595659,21.2048222,93.9,12.14,-0.112,0.018,0.968,0,11.375139374852518,39.0,20.353230753646564,1.0,8.0
245,2026-05-11 21:54:14.100000+00:00,52.1595791,21.2048266,94.0,11.63,-0.099,-0.027,0.97,0,10.786654966373154,39.0,21.47812910717449,1.0,8.0
250,2026-05-11 21:54:14.600000+00:00,52.159591,21.2048301,93.8,10.64,-0.099,-0.015,0.975,0,9.681019043338448,39.0,22.50537897098311,1.0,8.0
255,2026-05-11 21:54:15.100000+00:00,52.1596044,21.2048312,93.9,11.24,-0.101,0.016,0.963,0,10.741681276972152,39.0,23.55882044985349,1.0,8.0
260,2026-05-11 21:54:15.600000+00:00,52.1596172,21.2048292,94.0,10.86,-0.106,0.0,0.969,0,10.294694526230815,39.0,24.462414914027654,1.0,8.0
265,2026-05-11 21:54:16.100000+00:00,52.1596305,21.2048247,93.9,10.95,-0.103,-0.013,0.967,0,10.874978603445628,39.0,25.343349749588747,1.0,8.0
270,2026-05-11 21:54:16.600000+00:00,52.1596429,21.2048179,94.0,10.52,-0.108,-0.011,0.974,0,10.474202143286812,39.0,26.105633558035926,1.0,8.0
275,2026-05-11 21:54:17.100000+00:00,52.1596536,21.2048087,94.0,10.43,-0.103,-0.014,0.968,0,9.685091532312667,39.0,26.675909042409728,1.0,8.0
280,2026-05-11 21:54:17.600000+00:00,52.1596646,21.2047976,94.1,10.48,-0.107,0.011,0.965,0,10.35748540364642,39.0,27.257710052682214,1.0,8.0
285,2026-05-11 21:54:18.100000+00:00,52.1596744,21.2047848,94.0,10.53,-0.115,0.027,0.979,0,10.053840832288415,39.0,27.727910197931344,1.0,8.0
290,2026-05-11 21:54:18.600000+00:00,52.1596818,21.2047668,93.8,10.84,-0.13,0.049,0.981,0,10.642099142385874,39.0,27.859131812204865,1.0,8.0
295,2026-05-11 21:54:19.100000+00:00,52.1596862,21.2047458,93.6,11.79,-0.116,0.048,0.944,0,10.898930421913766,39.0,27.679553828914646,1.0,8.0
300,2026-05-11 21:54:19.600000+00:00,52.1596889,21.2047218,93.5,12.49,-0.148,0.055,1.004,0,11.983938001375867,39.0,27.332504660633706,1.0,8.0
305,2026-05-11 21:54:20.100000+00:00,52.1596898,21.2046974,93.6,12.0,-0.121,0.044,0.975,0,12.00546953051568,39.0,26.884262299332345,1.0,8.0
310,2026-05-11 21:54:20.600000+00:00,52.1596869,21.2046718,93.6,13.08,-0.129,0.058,0.971,0,12.785764894288825,39.0,26.103563976748156,1.0,8.0
315,2026-05-11 21:54:21.100000+00:00,52.1596823,21.2046462,93.5,13.4,-0.139,0.045,0.976,0,13.101455109684151,39.0,25.23712632857269,1.0,8.0
320,2026-05-11 21:54:21.600000+00:00,52.1596768,21.2046198,93.5,13.31,-0.107,-0.044,0.955,0,13.693401877558875,39.0,24.36995449037684,1.0,8.0
325,2026-05-11 21:54:22.100000+00:00,52.1596708,21.2045957,93.4,12.77,-0.081,-0.082,0.964,0,12.774085149547636,39.0,23.57542335240192,1.0,8.0
330,2026-05-11 21:54:22.600000+00:00,52.1596653,21.2045705,93.4,12.03,-0.07,-0.073,0.976,0,13.136706208193651,39.0,22.948664930609553,1.0,8.0
335,2026-05-11 21:54:23.100000+00:00,52.1596601,21.2045444,93.4,13.41,-0.05,-0.092,0.977,0,13.477858827179,39.0,22.49277592158372,1.0,8.0
340,2026-05-11 21:54:23.600000+00:00,52.1596552,21.2045182,93.3,13.47,-0.031,-0.04,0.96,0,13.452589567009865,39.0,22.220009728764946,1.0,8.0
345,2026-05-11 21:54:24.100000+00:00,52.159649,21.2044903,93.4,14.82,-0.027,-0.068,0.979,0,14.57416515160072,39.0,21.995260650079917,1.0,8.0
350,2026-05-11 21:54:24.600000+00:00,52.1596437,21.2044606,93.5,15.51,-0.004,-0.096,0.97,0,15.191509820693321,39.0,22.09376702256171,1.0,8.0
355,2026-05-11 21:54:25.100000+00:00,52.1596377,21.2044284,93.4,16.73,0.014,-0.097,0.975,0,16.528181377358543,39.0,22.400444685269917,1.0,8.0
360,2026-05-11 21:54:25.600000+00:00,52.1596308,21.2043936,93.3,18.07,0.022,-0.07,0.966,0,17.962263562223995,39.0,22.947983749404884,1.0,8.0
