stop_sequence,arrival_time,travel_time_s,anomaly
25,2026-05-11 15:00:01,,False
26,2026-05-11 15:01:21,80.0,False
27,2026-05-11 15:02:01,40.0,False
28,2026-05-11 15:02:41,40.0,False
29,2026-05-11 15:04:41,120.0,False
30,2026-05-11 15:05:21,40.0,False
31,2026-05-11 15:06:21,60.0,False
32,2026-05-11 15:07:01,40.0,False
33,2026-05-11 15:08:21,80.0,False
34,2026-05-11 15:10:21,120.0,False
35,2026-05-11 15:12:41,140.0,False
36,2026-05-11 15:13:21,40.0,False
37,2026-05-11 15:14:21,60.0,False
38,2026-05-11 15:15:01,40.0,False
39,2026-05-11 15:16:01,60.0,False
