stop_sequence,arrival_time,travel_time_s,anomaly
2,2026-05-11 20:47:25,,False
3,2026-05-11 20:48:16,51.0,False
4,2026-05-11 20:49:56,100.0,False
5,2026-05-11 20:52:15,139.0,False
6,2026-05-11 20:53:35,80.0,False
7,2026-05-11 20:55:36,121.0,False
8,2026-05-11 20:56:56,80.0,False
9,2026-05-11 20:58:26,90.0,False
10,2026-05-11 20:59:16,50.0,False
11,2026-05-11 21:01:05,109.0,False
12,2026-05-11 21:02:15,70.0,False
13,2026-05-11 21:03:25,70.0,False
14,2026-05-11 21:04:05,40.0,False
15,2026-05-11 21:05:45,100.0,False
16,2026-05-11 21:06:56,71.0,False
17,2026-05-11 21:07:55,59.0,False
18,2026-05-11 21:08:56,61.0,False
19,2026-05-11 21:09:36,40.0,False
20,2026-05-11 21:10:15,39.0,False
21,2026-05-11 21:11:46,91.0,False
22,2026-05-11 21:12:35,49.0,False
23,2026-05-11 21:13:16,41.0,False
24,2026-05-11 21:14:15,59.0,False
25,2026-05-11 21:15:16,61.0,False
26,2026-05-11 21:16:36,80.0,False
27,2026-05-11 21:17:33,57.0,False
28,2026-05-11 21:18:05,32.0,False
29,2026-05-11 21:18:36,31.0,False
30,2026-05-11 21:19:16,40.0,False
31,2026-05-11 21:20:26,70.0,False
32,2026-05-11 21:21:06,40.0,False
33,2026-05-11 21:21:55,49.0,False
34,2026-05-11 21:22:45,50.0,False
35,2026-05-11 21:24:16,91.0,False
36,2026-05-11 21:24:45,29.0,False
37,2026-05-11 21:25:05,20.0,False
38,2026-05-11 21:25:46,41.0,False
39,2026-05-11 21:26:25,39.0,False
