stop_sequence,arrival_time,travel_time_s,anomaly
39,2026-05-11 19:14:04,,False
38,2026-05-11 19:44:44,1840.0,True
37,2026-05-11 19:45:15,31.0,False
36,2026-05-11 19:45:52,37.0,False
35,2026-05-11 19:46:16,24.0,False
34,2026-05-11 19:46:56,40.0,False
33,2026-05-11 19:48:16,80.0,False
32,2026-05-11 19:49:55,99.0,False
31,2026-05-11 19:50:36,41.0,False
30,2026-05-11 19:51:26,50.0,False
29,2026-05-11 19:52:46,80.0,False
28,2026-05-11 19:53:35,49.0,False
27,2026-05-11 19:54:15,40.0,False
26,2026-05-11 19:55:05,50.0,False
25,2026-05-11 19:55:55,50.0,False
24,2026-05-11 19:57:36,101.0,False
23,2026-05-11 19:59:03,87.0,False
22,2026-05-11 20:01:04,121.0,False
21,2026-05-11 20:01:55,51.0,False
20,2026-05-11 20:03:16,81.0,False
19,2026-05-11 20:04:56,100.0,False
18,2026-05-11 20:05:35,39.0,False
17,2026-05-11 20:06:56,81.0,False
16,2026-05-11 20:08:05,69.0,False
15,2026-05-11 20:08:45,40.0,False
14,2026-05-11 20:10:06,81.0,False
13,2026-05-11 20:12:25,139.0,False
12,2026-05-11 20:13:06,41.0,False
11,2026-05-11 20:14:36,90.0,False
10,2026-05-11 20:15:35,59.0,False
9,2026-05-11 20:17:15,100.0,False
8,2026-05-11 20:17:56,41.0,False
7,2026-05-11 20:19:25,89.0,False
6,2026-05-11 20:20:34,69.0,False
5,2026-05-11 20:22:35,121.0,False
4,2026-05-11 20:23:36,61.0,False
3,2026-05-11 20:24:06,30.0,False
2,2026-05-11 20:27:06,180.0,False
1,2026-05-11 20:28:05,59.0,False
0,2026-05-11 20:29:45,100.0,False
