stop_sequence,arrival_time,travel_time_s,anomaly
38,2026-05-11 15:28:02,,False
37,2026-05-11 15:28:42,40.0,False
36,2026-05-11 15:29:42,60.0,False
35,2026-05-11 15:30:02,20.0,False
34,2026-05-11 15:30:42,40.0,False
33,2026-05-11 15:32:02,80.0,False
32,2026-05-11 15:34:02,120.0,False
31,2026-05-11 15:35:02,60.0,False
30,2026-05-11 15:35:42,40.0,False
29,2026-05-11 15:36:42,60.0,False
28,2026-05-11 15:37:42,60.0,False
27,2026-05-11 15:39:42,120.0,False
26,2026-05-11 15:40:22,40.0,False
25,2026-05-11 15:41:02,40.0,False
24,2026-05-11 15:41:42,40.0,False
23,2026-05-11 15:43:02,80.0,False
22,2026-05-11 15:45:03,121.0,False
21,2026-05-11 15:45:43,40.0,False
20,2026-05-11 15:46:43,60.0,False
19,2026-05-11 15:48:43,120.0,False
18,2026-05-11 15:50:03,80.0,False
17,2026-05-11 15:50:43,40.0,False
16,2026-05-11 15:53:43,180.0,False
15,2026-05-11 15:54:43,60.0,False
14,2026-05-11 15:56:43,120.0,False
13,2026-05-11 15:58:43,120.0,False
12,2026-05-11 15:59:43,60.0,False
11,2026-05-11 16:01:03,80.0,False
10,2026-05-11 16:02:43,100.0,False
9,2026-05-11 16:04:43,120.0,False
8,2026-05-11 16:05:23,40.0,False
7,2026-05-11 16:06:43,80.0,False
6,2026-05-11 16:08:03,80.0,False
5,2026-05-11 16:10:44,161.0,False
4,2026-05-11 16:12:44,120.0,False
3,2026-05-11 16:13:04,20.0,False
2,2026-05-11 16:16:44,220.0,False
1,2026-05-11 16:17:44,60.0,False
0,2026-05-11 16:21:24,220.0,False
