stop_sequence,arrival_time,travel_time_s,anomaly
2,2026-05-11 16:38:25,,False
3,2026-05-11 16:40:05,100.0,False
4,2026-05-11 16:42:05,120.0,False
5,2026-05-11 16:44:45,160.0,False
6,2026-05-11 16:46:25,100.0,False
7,2026-05-11 16:49:05,160.0,False
8,2026-05-11 16:50:45,100.0,False
9,2026-05-11 16:52:25,100.0,False
10,2026-05-11 16:53:05,40.0,False
11,2026-05-11 16:54:05,60.0,False
12,2026-05-11 16:55:25,80.0,False
13,2026-05-11 16:56:05,40.0,False
14,2026-05-11 16:57:05,60.0,False
15,2026-05-11 16:59:05,120.0,False
16,2026-05-11 17:01:05,120.0,False
17,2026-05-11 17:02:05,60.0,False
18,2026-05-11 17:03:25,80.0,False
19,2026-05-11 17:03:45,20.0,False
20,2026-05-11 17:04:25,40.0,False
21,2026-05-11 17:05:45,80.0,False
22,2026-05-11 17:07:05,80.0,False
23,2026-05-11 17:08:26,81.0,False
24,2026-05-11 17:09:26,60.0,False
25,2026-05-11 17:10:26,60.0,False
26,2026-05-11 17:12:46,140.0,False
27,2026-05-11 17:14:06,80.0,False
28,2026-05-11 17:15:06,60.0,False
29,2026-05-11 17:16:26,80.0,False
30,2026-05-11 17:18:06,100.0,False
31,2026-05-11 17:18:46,40.0,False
32,2026-05-11 17:19:26,40.0,False
33,2026-05-11 17:20:06,40.0,False
34,2026-05-11 17:22:26,140.0,False
35,2026-05-11 17:24:46,140.0,False
36,2026-05-11 17:25:06,20.0,False
37,2026-05-11 17:25:26,20.0,False
38,2026-05-11 17:26:26,60.0,False
39,2026-05-11 17:27:06,40.0,False
