stop_sequence,arrival_time,travel_time_s,anomaly
38,2026-05-11 17:46:27,,False
37,2026-05-11 17:46:47,20.0,False
36,2026-05-11 17:47:47,60.0,False
35,2026-05-11 17:48:07,20.0,False
34,2026-05-11 17:48:47,40.0,False
33,2026-05-11 17:49:47,60.0,False
32,2026-05-11 17:52:07,140.0,False
31,2026-05-11 17:53:07,60.0,False
30,2026-05-11 17:53:47,40.0,False
29,2026-05-11 17:54:27,40.0,False
28,2026-05-11 17:55:47,80.0,False
27,2026-05-11 17:56:47,60.0,False
26,2026-05-11 17:57:27,40.0,False
25,2026-05-11 17:58:07,40.0,False
24,2026-05-11 17:59:28,81.0,False
23,2026-05-11 18:00:08,40.0,False
22,2026-05-11 18:02:48,160.0,False
21,2026-05-11 18:03:28,40.0,False
20,2026-05-11 18:04:48,80.0,False
19,2026-05-11 18:06:48,120.0,False
18,2026-05-11 18:07:48,60.0,False
17,2026-05-11 18:08:28,40.0,False
16,2026-05-11 18:10:28,120.0,False
15,2026-05-11 18:11:08,40.0,False
14,2026-05-11 18:12:29,81.0,False
13,2026-05-11 18:14:49,140.0,False
12,2026-05-11 18:15:49,60.0,False
11,2026-05-11 18:16:49,60.0,False
10,2026-05-11 18:17:49,60.0,False
9,2026-05-11 18:19:29,100.0,False
8,2026-05-11 18:20:09,40.0,False
7,2026-05-11 18:21:09,60.0,False
6,2026-05-11 18:22:49,100.0,False
5,2026-05-11 18:25:49,180.0,False
4,2026-05-11 18:27:49,120.0,False
3,2026-05-11 18:28:09,20.0,False
2,2026-05-11 18:32:49,280.0,False
1,2026-05-11 18:33:29,40.0,False
0,2026-05-11 18:35:29,120.0,False
