stop_sequence,arrival_time,travel_time_s,anomaly
2,2026-05-11 22:49:16,,False
3,2026-05-11 22:50:05,49.0,False
4,2026-05-11 22:51:52,107.0,False
5,2026-05-11 22:53:46,114.0,False
6,2026-05-11 22:54:55,69.0,False
7,2026-05-11 22:57:15,140.0,False
8,2026-05-11 22:58:35,80.0,False
9,2026-05-11 22:59:26,51.0,False
10,2026-05-11 23:00:07,41.0,False
11,2026-05-11 23:02:05,118.0,False
12,2026-05-11 23:03:33,88.0,False
13,2026-05-11 23:04:53,80.0,False
14,2026-05-11 23:05:25,32.0,False
15,2026-05-11 23:06:06,41.0,False
16,2026-05-11 23:06:54,48.0,False
17,2026-05-11 23:07:46,52.0,False
18,2026-05-11 23:08:36,50.0,False
19,2026-05-11 23:09:36,60.0,False
20,2026-05-11 23:10:03,27.0,False
21,2026-05-11 23:11:24,81.0,False
22,2026-05-11 23:12:03,39.0,False
23,2026-05-11 23:12:44,41.0,False
24,2026-05-11 23:13:46,62.0,False
25,2026-05-11 23:14:36,50.0,False
26,2026-05-11 23:15:09,33.0,False
27,2026-05-11 23:15:45,36.0,False
28,2026-05-11 23:16:26,41.0,False
29,2026-05-11 23:16:46,20.0,False
30,2026-05-11 23:17:26,40.0,False
31,2026-05-11 23:18:25,59.0,False
32,2026-05-11 23:18:55,30.0,False
33,2026-05-11 23:19:25,30.0,False
34,2026-05-11 23:20:16,51.0,False
35,2026-05-11 23:21:35,79.0,False
36,2026-05-11 23:22:06,31.0,False
39,2026-05-11 23:24:36,150.0,False
